Award #,Project Title,Obligated Amount,Total Expected Amount,Direct Costs,expected direct,expected indirect,Indirect Costs,Total Project Cost
23-0189-A0001,Development of Sensitive Electrochemiluminescent Immunoassays through Electric Field Assisted Rapid Analyte Capture and Rational Design of the Reporter Catalyst/Reaction System,459000,,,,,,
23-0589-A0001-0,Priority Species (Bats) Monitoring and Surveillance,15000,,,,,,
23-0589-A0001-1,Priority Species (Bats) Monitoring and Surveillance,15000,,,,,,
23-1177-A0001,Empowering Wyoming Communities to Deliver and Sustain Evidence-Based Chronic Disease Self-Management Education Programs,672641,,,,,,
23-1242-A0001,Technology Transfer Program's County Road Inventory Program 2023,150000,,,,,,
23-0283-A0001-0,"Tunable, nanoporous, two-dimensional Covalent Organic Frameworks for size and charge separations",687850.55,,,,,,
23-0283-A0001-1,"Tunable, nanoporous, two-dimensional Covalent Organic Frameworks for size and charge separations",687850.55,687850.55,476021.14,476021.14,211829.41,211829.41,687850.55
23-1656-A0001,Basalt Petrogenesis and Oceanic Crustal Construction at Slow-Spreading Mid-Ocean Ridges,325841,325841,238166,238166,87675,87675,325841
24-0277-A0001,Pre-Service teachers' perceptions of the spectrum of teaching styles and it's role in their professional readiness,5330,,,,,,
23-1165-A0001,Western SARE Professional Development Program Administrative Subaward,313369,,,,,,
24-0142-A0001-0,Wyoming Innovation Partnership (WIP) | Phase II & Phase III,203157,203157,203157,203157,0,0,203157
24-0142-A0001-1,Wyoming Innovation Partnership (WIP) | Phase II & Phase III,406314,406314,406314,406314,0,0,406314
24-0576-A0001,Time's Ticking: Embarking on the Wyoming Trails Carbon Hub ("WyoTCH"),604833,604833,425021,425021,179812,179812,$604833
24-0187-A0001,BASF Herbicides for Weed Control in Dry Beans,15850,,,,,,
24-0500-A0001,"Rainbows on the Horizon: Understanding the Dynamics of Integrated Climate, River, Trout, and Tourism Systems in the Mountain West",287203,749924,225500,624497,125427,61703,749924
24-0173-A0002,Supplemental Nutrition Assistance Program Education,2230282,2291194,1864318,1864318,365964,365964,2230282
24-0589-A0001-0,Jackson Moose Calf - WGFD,30000,30000,30000,30000,0,0,30000
24-0589-A0001-1,Jackson Moose Calf - WGFD,30000,30000,30000,30000,0,0,30000
24-0589-A0001-2,Jackson Moose Calf - WGFD,30000,30000,30000,30000,0,0,30000
24-0589-A0001-3,Jackson Moose Calf - WGFD,30000,30000,30000,30000,0,0,30000
24-0589-A0001-4,Jackson Moose Calf - WGFD,90000,90000,90000,60000,0,0,90000
24-0118-A0001,Transforming Carbon Fiber Reinforced Polymer Wastes into Recyclable Structural Automotive Components ,257461,500000,189256,362129,137871,68208,625000
23-0897-A0001,Workshop: Human-Technology Interface Series - Pathways to Products for Lifelong Learning,99998,,,,,,
23-0843-A0001,Geochronology in support of mapping projects of the Earth MRI Central Laramie Range and Phantom Lake quadrangles,24500,,,,,,
23-1316-A0002,2022-2023 IOLTA Grant,10500,10500,10500,10500,0,0,10500
23-0451-A0001-0,NSF Postdoctoral Fellowship in Biology FY 2020: From genomes to geographic distributions: testing the eco-evolutionary mechanisms of species range limits,14000,,,,,,
23-0451-A0001-1,NSF Postdoctoral Fellowship in Biology FY 2020: From genomes to geographic distributions: testing the eco-evolutionary mechanisms of species range limits,9175.06,,9175.06,,,0,
24-0330-A0001-0,Trout Unlimited,15000,150000,14286,14286,714,714,15000
24-0330-A0001-1,Trout Unlimited,15000,15000,14286,14286,714,714,15000
23-0435-A0001,University of Wyoming Extension - EFNEP (2019-2024),278135,,,,,,
23-1610-A0001,FY23 5339 WYDOT/FTA Capital Request (non-vehicles),1200000,1200000,1200000,1200000,0,0,1500000
23-1260-A0001-0,STTR Phase I: Carbon-encapsulated sulfur cathodes for next-generation batteries,84809,,,,,,
23-1260-A0001-1,STTR Phase I: Carbon-encapsulated sulfur cathodes for next-generation batteries,84809,84809,64486,64486,20323,20323,84809
23-1331-A0001-0,Groundwater-supported vegetation refugia as a mechanism of forest recovery in a Rocky Mountain watershed impacted by wildfire,380676,999999,296125,798579,201420,84551,999999
23-1331-A0001-1,Groundwater-supported vegetation refugia as a mechanism of forest recovery in a Rocky Mountain watershed impacted by wildfire,693400,999999,550850,798579,201420,142550,999999
23-1331-A0001-2,Groundwater-supported vegetation refugia as a mechanism of forest recovery in a Rocky Mountain watershed impacted by wildfire,999999,999999,798579,798579,201420,201420,999999
23-1837-A0001,National Institute of Standards and Technology (NIST): Hollings Manufacturing Extension Partnership (MEP): Expansion Awards Pilot Program (MEAPP): MEP National Supply Chain Optimization and Intelligence Network,400000,400000,298508,298508,101492,101492,400000
23-0856-A0002-0,Manage and operate the Wyoming Early Childhood Professional Learning Collaborative,95000,95000,85500,85500,9500,9500,95000
23-0856-A0002-1,Manage and operate the Wyoming Early Childhood Professional Learning Collaborative,190000,190000,171000,171000,19000,19000,190000
24-0274-A0001,An investigation into the role of a botulinum toxin as the cause of canine dysautonomia,13500,,,,,,
23-0127-A0001,Revegetation Success and Weed Resilience of Wyoming Right-of-Way Reclamation - Federal,151270,,,,,,
23-0100-A0001,Evaluation of the Wyoming Prevention of Prescription Drug/Opioid Overdose-Related Deaths,270066.31,,,,,,
23-1171-A0001,North Dakota Community Readiness Survey 2022,105325,,,,,,
24-0484-A0002,Hatch-Regular Capacity,298899,1358635,298899,1358635,0,0,2717270
23-0618-A0002,Upper Missouri Basin Soil Moisture and Snowpack Monitoring: Existing & New Site Retrofits,260235.06,260235.06,194205.27,194205.27,66029.79,66029.79,260235.06
24-0680-A0001,Linking aerosol forcing and cloud feedback to atmospheric moisture processing,633751,633751,438582,438582,195169,195169,885171
23-0145-A0001,The Structure of Simple Separable Amenable C*â€�Algebras,255278,,,,,,
24-0070-A0001,Recreator Crowdsourcing of Particle Levels During Wildfires,25000,25000,17301,17301,7699,7699,25000
23-1464-A0001,Role of chronic carriers and population density in BHS,200000,,,,,,
23-1226-A0001-0,Enhancing our Understanding on the Role of Incentives in Improving Supervision Outcomes,422195,,,,,,
23-1226-A0001-1,Enhancing our Understanding on the Role of Incentives in Improving Supervision Outcomes,422195,,381241,,,40954,
23-0920-A0001,Evaluating the Efficacy of Moose Habitat Treatments,10000,,,,,,
24-0375-A0001-0,Brunton: Design and Develop the Digital Twin Prototype of e-transit,35689,35689,24698,24698,10991,10991,35689
24-0375-A0001-1,Brunton: Design and Develop the Digital Twin Prototype of e-transit,35689,35689,24698,24698,10991,10991,35689
23-1035-A0001-0,Mapping Migration Corridors Across the West,180000,,,,,,
23-1035-A0001-1,Mapping Migration Corridors Across the West,180000,180000,180000,180000,0,0,360000
23-1035-A0001-2,Mapping Migration Corridors Across the West,180000,180000,180000,180000,0,0,360000
23-0222-A0001,Efficient and Robust CFD Solvers for Exascale Architectures,596092.77,,,,,,
23-1018-A0001-0,Mesoscale to Microscale Coupling Using Continuous Eddy Simulation,324827,,,,,,
23-1018-A0001-1,Mesoscale to Microscale Coupling Using Continuous Eddy Simulation,324827,324827,257799,257799,67028,67028,324827
23-1018-A0001-2,Mesoscale to Microscale Coupling Using Continuous Eddy Simulation,387741,387741,307731,307731,80010,80010,387741
24-0645-A0001-0,Bee visitation at Capitol Reef,1015,1015,864,864,151,151,59808.5
24-0645-A0001-1,Bee visitation at Capitol Reef,1015,1015,864,864,151,151,59808.5
24-0645-A0001-2,Bee visitation at Capitol Reef,59136.14,59136.14,50328.63,50328.63,8807.51,8807.51,59808.5
23-0697-A0001,"Geography educational Professional Development, National Parks, Natural Resources and Native Americans",50000,,,,,,
25-0105-A0001,Beavers as Landscape Stewards: How do ecosystem engineers impact the diversity and connectivity of the species that use their engineered habitats?,1000,1000,1000,1000,0,0,1000
23-1155-A0001,FY22 5339 Capital Assistance - Upgrade Radio System,80000,,,,,,
23-0082-A0001,"Collaborative Research:  Western Wildfire Experiment for Cloud Chemistry, Aerosol Absorption and Nitrogen (WE-CAN)",379604,,,,,,
24-0142-A0004-0,Wyoming Innovation Partnership (WIP) | Phase II & Phase III,163651,163651,163651,163651,0,0,163651
24-0142-A0004-1,Wyoming Innovation Partnership (WIP) | Phase II & Phase III,163651,163651,163651,163651,0,0,163651
24-0142-A0004-2,Wyoming Innovation Partnership (WIP) | Phase II & Phase III,163651,163651,163651,163651,0,0,163651
24-0195-A0001,Mechanisms underlying continuous spike-waves during slow-wave sleep in a mouse model of focal cortical dysplasia,1555236,,,,,,
23-1005-A0001,Evaluation of HPP Program in Nebraska 2021-22,12000,,,,,,
23-0530-A0002,Weed Management in Sugarbeet,24000,24000,22800,22800,1200,1200,24000
23-1457-A0001-0,Wyoming Mule Deer Herds Five Year Study,309732,,,,,,
23-1457-A0001-1,Wyoming Mule Deer Herds Five Year Study,599332,599332,599332,599332,0,0,599332
24-0949-A0001-0,WRASAP Mini Grant for Professional Development,5000,5000,4500,4500,500,500,5000
24-0949-A0001-1,WRASAP Mini Grant for Professional Development,5000,5000,4500,4500,500,500,5000
24-0949-A0001-2,WRASAP Mini Grant for Professional Development,5000,5000,4500,4500,500,500,5000
23-0736-A0001-0,Wyoming Water Research Program 2021-2025,283454,,,,,,
23-0736-A0001-1,Wyoming Water Research Program 2021-2025,283454,,283454,,,0,491982
23-0369-A0001,Development of Additive Manufacturing for Ceramic Matrix Composite Vanes,354000,,,,,,
23-1410-A0001-0,Contract as Rotor Wake Multi-lab PI,160000,,,,,,
23-1410-A0001-1,Contract as Rotor Wake Multi-lab PI,75000,160000,51903,117238,42762,23097,160000
23-1410-A0001-2,Contract as Rotor Wake Multi-lab PI,160000,160000,117238,117238,42762,42762,160000
23-1410-A0001-3,Contract as Rotor Wake Multi-lab PI,160000,160000,117238,117238,42762,42762,160000
23-1410-A0001-4,Contract as Rotor Wake Multi-lab PI,260000,260000,190476,117238,42762,69524,260000
23-1410-A0001-5,Contract as Rotor Wake Multi-lab PI,260000,260000,157509.16,117238,42762,57490.84,260000
23-1410-A0001-6,Contract as Rotor Wake Multi-lab PI,260000,260000,189698,189698,70302,70302,260000
23-0059-A0001,Adobe Town HMA Horse GPS Collar Project,40000,,,,,,
24-0471-A0002,The role forest structure plays in regulating water availability and implications for natural resources and ecosystem function,16374,16374,11331,11331,5043,5043,42988
24-0313-A0001,Coronavirus Relief Fund - TESTING,0,,,,,,
23-0732-A0001,Weather Research and Forecasting (WFR) Modeling for Tools Assessing Performance,69999.91,,,,,,
24-0539-A0001-0,Upward Bound Math and Science ,353590,353590,333172,333172,20418,20418,1767950
24-0539-A0001-1,Upward Bound Math and Science ,721324,1824526,678207,1713312,111214,43117,1824526
24-0539-A0001-2,Upward Bound Math and Science ,1089058,1824526,1023242,1713312,111214,65816,1824526
24-0163-A0001,Prey abundance and predator foraging ecology,32949.12,32949.12,32949.12,32949.12,0,0,32949.12
24-1006-A0001-0,Commerical-Scale Carbon Storage Modeling Assessment,300000,300000,207612.46,207612.46,92387.54,92387.54,300000
24-1006-A0001-1,Commerical-Scale Carbon Storage Modeling Assessment,300000,300000,207612.46,207612.46,92387.54,92387.54,300000
23-0340-A0001-0,F.E. Warren Air Force Base Threatened and Endangered Species,157728,,,,,,
23-0340-A0001-1,F.E. Warren Air Force Base Threatened and Endangered Species,188964.39,188964.39,173808.16,173808.16,15156.23,15156.23,188964.39
23-1482-A0001-0,Investigating the Contribution of the Coxiella Cell Wall to Intracellular Pathogenesis,169243,,,,,,
23-1482-A0001-1,Investigating the Contribution of the Coxiella Cell Wall to Intracellular Pathogenesis,351363,351363,248456,248456,102907,102907,361363
23-1482-A0001-2,Investigating the Contribution of the Coxiella Cell Wall to Intracellular Pathogenesis,351363,351363,248456,248456,102907,102907,361363
23-0603-A0001,Continuous Glucose Monitoring in Diabetes: Not Just for Endocrinologistsâ€”What Family Docs and Educators Need to Know,,,,,,,
23-0474-A0001,"Increasing Yield, Quality, and Economy of Alfalfa Hay through Grass Species Selection and Planting Configuration",110177,,,,,,
23-1578-A0002-0,WYOMING DEPARTMENT OF HEALTH PUBLIC HEALTH DIVISION OFFICE OF RURAL HEALTH: TELEHEALTH EDUCATION AND RESEARCH,259000,259000,215833,215833,43167,43167,259000
23-1578-A0002-1,WYOMING DEPARTMENT OF HEALTH PUBLIC HEALTH DIVISION OFFICE OF RURAL HEALTH: TELEHEALTH EDUCATION AND RESEARCH,259000,259000,215833,215833,43167,43167,259000
24-0284-A0001,Assessing the Economic Impact of Heritage Park,9000,,,,,,
24-0573-A0001-0,Pygmy Rabbits,65049,79274.18,65049,79274.18,0,0,166880
24-0573-A0001-1,Pygmy Rabbits,122000,130000,122000,130000,0,0,166880
23-1414-A0001-0,Light Detection and Ranging Plot Validation - Phase 2,120093,,,,,,
23-1414-A0001-1,Light Detection and Ranging Plot Validation - Phase 2,120093,,,,,,
23-1140-A0001,"Master Research Agreement with Halcyon Energy Solutions Company, Inc.",69300,,,,,,
24-0590-A0001-0,CHIPOLATA - Climate change and harvesting impacts on the pelagic fish community of Lake Tanganyika,300000,300000,238095,238095,61905,61905,300000
24-0590-A0001-1,CHIPOLATA - Climate change and harvesting impacts on the pelagic fish community of Lake Tanganyika,300000,300000,238095,238095,61905,61905,300000
24-0077-A0001,"Breeding for High Yield, High Maturity and Upright Lines Adapted to Wyoming",28000,28000,28000,28000,0,0,28000
23-0733-A0001-0,Self-nonself recognition and multicellularity in myxobacteria,1009694,,,,,,
23-0733-A0001-1,Self-nonself recognition and multicellularity in myxobacteria,1034405,,,,,,
23-0733-A0001-2,Self-nonself recognition and multicellularity in myxobacteria,1359530,1732194,948461,1198750,533444,411069,
23-0733-A0001-3,Self-nonself recognition and multicellularity in myxobacteria,1395655,1732194,973461,1198750,533444,422194,1395655
23-0733-A0001-4,Self-nonself recognition and multicellularity in myxobacteria,1395655,1732194,973461,1198750,533444,422194,1395655
23-0789-A0001,Center for Advanced Energy Studies (CAES) Collaboration Fund Proposal Program Development Activities,10000,,,,,,
23-1681-A0001,Medicine Bow Deferred Maintenance,75000,75000,71428.57,71428.57,3571.43,3571.43,104300.73
23-1290-A0001,Infection rates and effects of ectoparasites on declining sagebrush songbirds FY22,16387,,,,,,
24-0322-A0001-0,Monitoring of Bats in the Northern Great Plains Parks,257400,257400,219063.83,219063.83,38336.17,38336.17,257400
24-0322-A0001-1,Monitoring of Bats in the Northern Great Plains Parks,374400,374400,318638.3,318638.3,55761.7,55761.7,374400
23-0096-A0001-0,Collaborative Research:  Prediction of a Red Nova Outburst in KIC 9832227,202834,,,,,,
23-0096-A0001-1,Collaborative Research:  Prediction of a Red Nova Outburst in KIC 9832227,202834,202834,154367,154367,48467,48467,202834
24-0613-A0002,BWXT | Master Research Agreement,25492,25492,19489,19489,6003,6003,50984
23-0787-A0001,Curriculum for Agricultural Science Education (CASE),13600,,,,,,
23-1039-A0001,University of Wyoming Community Diabetes Prevention Grant,14500,,,,,,
23-1219-A0001,"Firearms Study - A project to collect, study, analyze, and present specific data regarding certain firearm crimes, including those involving injuries, fatalities, and crime firearms.",146553.6,,,,,,
23-0217-A0001,Integration of Early Harvest with Biological Control for Sustainable Alfalfa Production,324998,,,,,,
23-0436-A0001,A Feasibility Study for Establishing a Regional Road Track Pavement Testing Facility in Wyoming,102002,,,,,,
23-1663-A0001,Zoetis Master Agreement for Services and Research,867,867,600,600,267,267,867
24-0006-A0001,CAREER: Defining the Role of Snow in Storing and Transmitting Liquid Water  to Generate Streamflow,385828,738196,282087,542414,195782,103741,738196
23-0694-A0001-0,Environmentally Friendly Production of High-Quality and Multifunctional Carbon Quantum Dots from Coal,442265,,,,,,
23-0694-A0001-1,Environmentally Friendly Production of High-Quality and Multifunctional Carbon Quantum Dots from Coal,442265,442265,378725,378725,63540,63540,554765
23-0694-A0001-2,Environmentally Friendly Production of High-Quality and Multifunctional Carbon Quantum Dots from Coal,442265,442265,378725,378725,63540,63540,554765
23-0694-A0001-3,Environmentally Friendly Production of High-Quality and Multifunctional Carbon Quantum Dots from Coal,442265,442265,378725,378725,63540,63540,554765
