"Proposal #","Project Title","PI","PI Unit","Status","Sponsor","Prime Sponsor","Admin Unit","Project Start Date","Project End Date","Proposal Type","Project #","Created Date","Total Sponsor Costs","Sponsor Deadline","add new prime sponsor","add new sponsor","full proposal title","History Action","History Action By","History Action Date","History Comment","Prime Sponsor Org Type","Proposal Id","Resolution","Routing Comment","Routing Date","Routing Status","Total Cost Share","Total Direct Costs","Total Indirect Costs","Total Project Cost","uw is receiving funding as","uwreceiving funding lead other","Actual_Submission_Date","Actual_Funding_Date","Total Sponsor Costs in Proposal","Total Direct Costs in Proposal","Total Indirect Costs in Proposal","Total Project Cost in Proposal","FY","Project Number","Project Funding Amount","Award F&A Schedule","College (Subdivision)","Closed","Funded","Not Submitted to Sponsor","Submitted to Sponsor","In Development","Under Consideration","Transfer","Under Review","Approved","Total_submitted_to_sponsor"
"23-0796-P0001","North Platte Reservoirs Stocked Salmonids Fate",NA,NA,"Closed",NA,NA,NA,NA,NA,NA,"23-0796","4/27/2023 07:20:12 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 07:20:11 PM > 4/27/2023 07:20:14 PM","Status set by bulk loader",NA,"65327029-6930-47c6-8710-37b101e8e52e","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"230796A0001",NA,NA,NA,1,0,0,0,0,0,0,0,0,0
"25-0121-P0001","Northern Arapaho Four Hills of Life Mobile App and Virtual Reality Tool Kit with Indigenous Ecological Knowledge and DNA Sequencing for STEM Identity Formation","Phineas Arthur Kelly","Applications & Customer Relations","Submitted to Sponsor","National Science Foundation",NA,"College of Agriculture, Life Sciences & Natural Resources Deans Office","6/2/2025","5/2/2030","Resubmission","25-0121","9/9/2024 01:54:21 PM","4829867","10/8/2024 12:00:00 AM",NA,NA,"Northern Arapaho Four Hills of Life Mobile App and Virtual Reality Tool Kit with Indigenous Ecological Knowledge and DNA Sequencing for STEM Identity Formation","Proposal Created > Status was changed from: In Development to Under Review > Certified > Form was edited in 'Under Review' status > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor","Phineas Arthur Kelly > Thomas Abraham Lentner > Camellia Moses Okpodu > Farrell Jean Rapp","9/9/2024 01:54:20 PM > 9/30/2024 05:51:32 PM > 9/30/2024 07:24:10 PM > 10/1/2024 09:08:17 AM > 10/2/2024 03:50:38 PM > 10/2/2024 03:51:10 PM > 10/2/2024 03:52:29 PM > 10/7/2024 11:26:51 AM","Submitted 10/7/2024 at 11:25am, Proposal - 2501403",NA,"5ab9d476-4868-4b9e-9bb3-4df09285e685",NA,"Passes pre-award checks.  Budget is nearly complete, indirect cost calculation is at variance with standard calculations by between 10 to 15% - will assess with PI while proposal is routing for approval.  Recommending IRB review of interview and assessment protocols - see notes.  See Northern Arapaho subrecipient attachments for prior written approval of research with Business Counsel. > Approve. WyoCloud contacts appears blank. Please confirm who should be there to get them added.","9/30/2024 05:57:15 PM > 10/1/2024 09:08:17 AM > 9/30/2024 07:24:10 PM > 10/2/2024 02:51:30 PM > 10/1/2024 02:24:25 PM > 10/1/2024 02:24:21 PM > 10/2/2024 03:52:29 PM","Approved > Certified",NA,"4178639","651228","4829867",NA,"Yes",2024-10-07 11:26:51,NA,"4829867","4178639","651228","4829867","FY2025","250121A0001",NA,NA,NA,0,0,0,1,0,0,0,0,0,1
"24-0386-P0001","Northern Arapaho Four Hills of Life Mobile and Virtual Reality Tool Kit for Indigenous STEM Identity Formation and Career Pathways","Phineas Arthur Kelly","Applications & Customer Relations","Closed","National Science Foundation",NA,"Anthropology Department","8/1/2024","8/1/2029","New","24-0386","9/10/2023 06:38:34 PM","4132878","12/5/2023 12:00:00 AM",NA,NA,"Northern Arapaho Four Hills of Life Mobile and Virtual Reality Tool Kit for Indigenous STEM Identity Formation and Career Pathways","Proposal Created > Assigned to SP Proposal Administrator: Kasi Smart > Status was changed from: In Development to Under Review > Certified > Status was changed from: Under Review to In Development > Status was changed from: In Development to Closed. Resolution set to: Withdrawn","Farrell Jean Rapp > Tashina Lemons > Kasi Smart > Camellia Moses Okpodu > Phineas Arthur Kelly","9/10/2023 06:38:34 PM > 9/18/2023 08:09:27 AM > 11/30/2023 04:41:34 PM > 11/30/2023 05:25:06 PM > 11/30/2023 10:00:58 PM > 12/5/2023 03:07:45 PM > 12/14/2023 07:41:34 AM","A&S declined support, found new administrating home with Botany and Ag, notes and attachments updated to reflect this change. > PI was attempting to run proposal through A&S however A&S dean's office declined to  allow submission. PI found a new unit to house the proposal in Botany and College of Ag.",NA,"8e1e0b3b-b95e-40dd-a2f7-85607c23bde8","Withdrawn","PI is aware he needs to use the newer SciENcv format for all c&p and biosketch material.","12/5/2023 03:07:45 PM > 12/4/2023 01:34:24 PM > 11/30/2023 10:06:29 PM > 11/30/2023 10:00:58 PM > 11/30/2023 05:25:06 PM > 11/30/2023 04:42:46 PM","Cancelled > Approved > Certified > Not Yet Active",NA,"3594042","538836","4132878",NA,"Yes",NA,NA,"4132878","3594042","538836","4132878",NA,"240386A0001",NA,NA,NA,1,0,0,0,0,0,0,0,0,0
"23-0220-P0001","Northern Long Eared Bat Maternity Roost",NA,NA,"Closed",NA,NA,NA,NA,NA,NA,"23-0220","4/27/2023 06:38:42 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 06:38:42 PM > 4/27/2023 06:38:45 PM","Status set by bulk loader",NA,"0960b5af-b985-4e7d-b99c-ee4cf9141052","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"230220A0001",NA,NA,NA,1,0,0,0,0,0,0,0,0,0
"23-0927-P0001","Northern Long Eared Bat Maternity Roost 0921",NA,NA,"Funded",NA,NA,NA,NA,NA,NA,"23-0927","4/27/2023 07:29:18 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 07:29:17 PM > 4/27/2023 07:29:20 PM","Status set by bulk loader",NA,"b8fbc911-7a92-4c2e-b4f1-85549b1e8d53","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"230927A0001",NA,NA,NA,0,1,0,0,0,0,0,0,0,1
"23-1431-P0001","Northern Tribal Technical Assistance Program (TTAP) Center",NA,NA,"Funded",NA,NA,NA,NA,NA,NA,"23-1431","4/27/2023 08:04:38 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 08:04:38 PM > 4/27/2023 08:04:41 PM","Status set by bulk loader",NA,"23314aa5-96f8-48b2-8dd3-f1a2571f9f17","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"231431A0001",NA,NA,NA,0,1,0,0,0,0,0,0,0,1
"23-1852-P0001","Northwest Mountain Food Business Center","Anders T. Van Sandt","Agriculture & Applied Economics","Funded","Colorado State University","Agricultural Marketing Service/Department of Agriculture","Agriculture & Applied Economics","3/1/2023","2/28/2028","New","23-1852","6/27/2023 11:17:03 AM","1365240","12/7/2022 12:00:00 AM",NA,NA,"Northwest Mountain Food Business Center","Proposal Created > Status was changed from: In Development to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Funded","Tashina Lemons","6/27/2023 11:17:03 AM > 8/24/2023 02:50:30 PM > 8/24/2023 02:51:16 PM","Legacy Data Submitted to Sponsor FY23 > Preliminary draft arrived from Sponsor 8/22-23",NA,"2916cf64-057b-42d0-9f29-353441cc5e4e",NA,NA,"7/6/2023 02:10:19 PM","Cancelled > Not Yet Active",NA,"1241125","124115","1365240","A Subrecipient","No",2023-08-24 14:50:30,"2023-08-24 14:51:16","1365240","1241125","124115","1365240","FY2024","231852A0001",1178690,"10MTDC1","College of Agriculture, Life Sciences & Natural Resources",0,1,0,0,0,0,0,0,0,1
"23-1845-P0001","Notice of Special Interest (NOSI): Administrative Supplements for Equipment Purchases for Select NIGMS","Qian-Quan Sun","Zoology & Physiology","Not Submitted to Sponsor","National Institute of General Medical Sciences/National Institutes of Health/Department of Health and Human Services",NA,NA,NA,NA,NA,"23-1845","6/26/2023 04:36:39 PM",NA,"3/1/2023 12:00:00 AM",NA,NA,NA,"Proposal Created > Status was changed from: In Development to Closed. Resolution set to: PI Abandoned","Bryce Howard > Farrell Rapp","6/26/2023 04:36:39 PM > 7/3/2023 02:28:19 PM","Moved to Project 23-1945",NA,"396997b2-5d81-4cdc-999d-2bfff063cbdb","PI Abandoned",NA,"6/26/2023 04:38:26 PM","Cancelled > Not Yet Active",NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,"231845A0001",NA,NA,"College of Agriculture, Life Sciences & Natural Resources",0,0,1,0,0,0,0,0,0,0
"24-0664-P0002","Novel Acamprosate Formulation for Treating Alcohol Use Disorder","Sreejayan Nair","School of Pharmacy","Not Submitted to Sponsor","National Institute on Drug Abuse/National Institutes of Health/Department of Health and Human Services","National Institute on Drug Abuse/National Institutes of Health/Department of Health and Human Services","School of Pharmacy","1/1/2025","12/31/2024","Resubmission","24-0664","8/19/2024 10:12:01 AM","115780","9/5/2024 12:00:00 AM",NA,NA,"Acamprosate Formulation with Improved Bioavailability for Treating Alcohol Use Disorder","Proposal Created > Status was changed from: In Development to Under Review > Status was changed from: Under Review to In Development > Certified > Form was edited in 'Under Review' status > Status was changed from: Under Review to Approved > Status was changed from: Approved to Closed. Resolution set to: PI Abandoned","Sreejayan Nair > John Ruess > Farrell Jean Rapp > Thomas Abraham Lentner","8/19/2024 10:12:00 AM > 8/19/2024 10:46:58 AM > 8/29/2024 11:35:35 AM > 8/30/2024 11:37:06 AM > 8/30/2024 02:17:04 PM > 9/3/2024 08:48:32 AM > 9/3/2024 04:58:53 PM > 9/4/2024 09:04:23 AM > 9/4/2024 09:39:17 AM","edit sponsor heirarchy > PI and project team decided to wait until future opening to submit this application.  Application was not submitted.",NA,"9e2d9ef5-2768-4e26-a82c-05b975d62d02","PI Abandoned","I approve this proposal.  The ""College, Unit, or Department Fiscal Manager"" should be changed from Rebecca Clemence to Karly Bentz (Karly.Bentz@uwyo.edu).
","8/30/2024 12:53:31 PM > 8/30/2024 02:17:04 PM > 8/30/2024 06:03:01 PM > 8/30/2024 04:23:01 PM > 9/4/2024 09:04:25 AM","Approved > Certified",NA,NA,"34505","297283","A Subrecipient","No",NA,NA,"115780","$81275","34505","297283",NA,"240664A0002",NA,NA,"College of Health Sciences",0,0,1,0,0,0,0,0,0,0
"25-0424-P0001","Novel B Cell Contribution In Protection to Brucellosis","David W Pascual","Veterinary Science","Submitted to Sponsor","National Institutes of Health/Department of Health and Human Services",NA,"Veterinary Science","9/1/2025","8/31/2027","New","25-0424","1/10/2025 01:37:52 PM","397375","2/17/2025 12:00:00 AM",NA,NA,"Novel B Cell Contribution In Protection to Brucellosis","Proposal Created > Status was changed from: In Development to Under Review > Certified > Form was edited in 'Under Review' status > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor","John Ruess > David W Pascual > Farrell Jean Rapp","1/10/2025 01:37:52 PM > 1/27/2025 03:25:31 PM > 1/28/2025 08:47:18 AM > 1/28/2025 10:43:04 AM > 1/28/2025 10:43:50 AM > 2/3/2025 08:44:27 AM","GRANT14345340",NA,"1418800b-31fc-4625-94b4-c6adde75c497",NA,"Passes pre-award checks","1/28/2025 08:30:30 AM > 1/28/2025 08:47:18 AM > 1/28/2025 09:35:48 AM > 1/28/2025 09:00:51 AM > 1/28/2025 10:43:53 AM","Approved > Certified",NA,"275000","122375","397375",NA,"Yes",2025-02-03 08:44:27,NA,"397375","275000","122375","397375","FY2025","250424A0001",NA,NA,"College of Agriculture, Life Sciences & Natural Resources",0,0,0,1,0,0,0,0,0,1
"25-0205-P0001","Novel Cryoprotective Agents","Thomas C. Boothby","Molecular Biology","Submitted to Sponsor","ADD NEW",NA,"Molecular Biology","12/1/2024","5/31/2025","New","25-0205","10/8/2024 10:09:37 AM","44550","10/25/2024 12:00:00 AM",NA,"CryoDAO","Testing of novel tardigrade cryoprotective agents","Proposal Created > Assigned to SP Proposal Administrator: Kayleigh Ann Edgar > Status was changed from: In Development to Under Review > Status was changed from: Under Review to In Development > Certified > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor","Farrell Jean Rapp > Janissa Marie Analissia Martinez > Kayleigh Ann Edgar > Thomas C. Boothby","10/8/2024 10:09:36 AM > 10/8/2024 11:02:41 AM > 10/15/2024 11:51:19 AM > 10/15/2024 12:02:11 PM > 10/15/2024 12:05:14 PM > 10/15/2024 03:23:14 PM > 10/17/2024 10:51:23 AM > 10/29/2024 09:36:17 AM","Updating fields > Submitted to sponsor 10/25/24 by PI Boothby",NA,"5b19f761-2d9f-418b-9428-b99b02b4446e",NA,"Passes pre-award checks
 > AP approved Sponsor IDC limitation.","10/15/2024 12:21:30 PM > 10/15/2024 03:23:14 PM > 10/16/2024 02:26:53 PM > 10/15/2024 03:28:09 PM > 10/17/2024 10:51:23 AM","Approved > Certified",NA,"44550","0","44550",NA,"Yes",2024-10-29 09:36:17,NA,"44550","44550","0","44550","FY2025","250205A0001",NA,NA,"College of Agriculture, Life Sciences & Natural Resources",0,0,0,1,0,0,0,0,0,1
"24-0124-P0001","Novel methods for characterization of beef steer temperament and association with feed efficiency, metabolic profile, stress, health, and methane flux","Hannah Crocker Cunningham","Animal Science","Funded","National Institute of Food and Agriculture/Department of Agriculture",NA,"Animal Science","8/1/2024","7/31/2026","New","24-0124","7/31/2023 10:30:59 AM","299974.08","8/10/2023 12:00:00 AM",NA,NA,"Relationship between feedlot steer activity, feed efficiency, molecular profiles, and meat quality","Proposal Created > Assigned to SP Proposal Administrator: John Ruess > Status was changed from: In Development to Under Review > Status was changed from: Under Review to In Development > Certified > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Under Consideration > Status was changed from: Under Consideration to Funded","Hannah Cunningham > Bryce Howard > John Ruess > Tashina Lemons > Hannah Crocker Cunningham > Farrell Jean Rapp > Thomas Abraham Lentner","7/31/2023 10:30:58 AM > 7/31/2023 12:14:54 PM > 8/3/2023 06:49:28 AM > 8/3/2023 09:28:34 AM > 8/3/2023 01:54:28 PM > 8/9/2023 09:32:34 AM > 8/9/2023 11:04:38 AM > 8/9/2023 07:13:18 PM > 8/9/2023 07:13:50 PM > 8/10/2023 08:48:10 AM > 8/10/2023 09:12:38 AM > 8/10/2023 09:18:42 AM > 8/10/2023 11:40:15 AM > 8/10/2023 03:37:40 PM > 5/2/2024 04:02:46 PM > 7/15/2024 03:04:55 PM","Unlinking S2S system > amendments made
 > budget changes needed
 > Submitted to sponsor 8/10/23 > Notified on 05/02/2024 - PI requested to provide IACUC approval and NICRA to move forward with award. > funded",NA,"3d6e51a5-2539-4597-831f-865f7374f976",NA,"Please add Tori Henderson to Wyocloud access > doc changes > see email","8/10/2023 11:40:16 AM > 8/10/2023 09:29:33 AM > 8/10/2023 09:27:44 AM > 8/10/2023 09:23:00 AM > 8/10/2023 09:18:42 AM > 8/10/2023 09:12:50 AM > 8/9/2023 09:32:34 AM > 8/3/2023 09:28:34 AM","Approved > Certified > Declined",NA,"240551.93","59422.15",NA,NA,"Yes",2023-08-10 15:37:40,"2024-07-15 15:04:55","299974.08","240551.93","59422.15","$299974.08","FY2024","240124A0001",3e+05,"445MTDC1","College of Agriculture, Life Sciences & Natural Resources",0,1,0,0,0,0,0,0,0,1
"23-1338-P0001","Novel optogenetic tool for noninvasive neuronal inhibition",NA,NA,"Funded",NA,NA,NA,NA,NA,NA,"23-1338","4/27/2023 07:58:16 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 07:58:16 PM > 4/27/2023 07:58:19 PM","Status set by bulk loader",NA,"ab8181ea-e696-4bfd-ad4b-eedf6fcc1676","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"231338A0001",NA,NA,NA,0,1,0,0,0,0,0,0,0,1
"23-1442-P0001","Noxious Weed Management in Rangelands",NA,NA,"Funded",NA,NA,NA,NA,NA,NA,"23-1442","4/27/2023 08:05:24 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 08:05:23 PM > 4/27/2023 08:05:27 PM","Status set by bulk loader",NA,"7f1ae81b-deb0-47c3-b07c-9f47e34c4c1f","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"231442A0001",NA,NA,NA,0,1,0,0,0,0,0,0,0,1
"23-0687-P0001","Nuclear Security Collaboration - 2021",NA,NA,"Closed",NA,NA,NA,NA,NA,NA,"23-0687","4/27/2023 07:12:25 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 07:12:25 PM > 4/27/2023 07:12:28 PM","Status set by bulk loader",NA,"5bd14c85-f953-41e2-8253-ac01b1537d4d","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"230687A0001",NA,NA,NA,1,0,0,0,0,0,0,0,0,0
"23-1961-P0001","Nuclear size regulation","Sourabh Sengupta","Molecular Biology","Submitted to Sponsor","American Cancer Society",NA,"Molecular Biology","8/1/2023","7/31/2026","New","23-1961","6/30/2023 04:01:59 PM","217500","3/30/2023 12:00:00 AM",NA,NA,"Regulation of nuclear size under conditions of cellular stress","Proposal Created > Status was changed from: In Development to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Closed. Resolution set to: Not Funded","Tashina Lemons > Thomas Abraham Lentner > Farrell Jean Rapp","6/30/2023 04:01:58 PM > 3/28/2024 02:55:58 PM > 12/23/2024 12:15:15 PM","Submitted on 03/30/2023 at 5:30pm > Assuming not funded, as it’s been over 12 months since submission with no updates.",NA,"5fd84c8e-ee65-40a5-9340-e0b95d840ac4","Not Funded",NA,NA,"Not Completed",NA,"217500","0","217500",NA,"Yes",NA,NA,"217500","217500","0","217500",NA,"231961A0001",NA,NA,"College of Agriculture, Life Sciences & Natural Resources",0,0,0,1,0,0,0,0,0,1
"23-0540-P0001","Nucleus accumbens neuronal ensembles in drugs and natural rewards seeking.",NA,NA,"Closed",NA,NA,NA,NA,NA,NA,"23-0540","4/27/2023 07:02:22 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 07:02:22 PM > 4/27/2023 07:02:24 PM","Status set by bulk loader",NA,"f25c24b4-ceab-45d1-8320-352902eea02a","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"230540A0001",NA,NA,NA,1,0,0,0,0,0,0,0,0,0
"23-0510-P0002","Numerical Simulations of Cold Air Outbreaks Using a Multi-Scale Modeling Framework","Bart Geerts","Atmospheric Science","Funded","U.S. Department of Energy",NA,"Atmospheric Science","5/1/2019","4/30/2024","Supplement","23-0510","8/15/2023 10:46:09 AM","207794","3/31/2023 12:00:00 AM",NA,NA,"Numerical Simulations of Cold Air Outbreaks Using a Multi-Scale Modeling Framework | Supplement","Proposal Created > Status was changed from: In Development to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Funded","Farrell Jean Rapp","8/15/2023 10:46:09 AM > 2/26/2024 10:38:02 AM > 2/26/2024 10:38:59 AM","Legacy. No Greensheet. Supplemental Funding. > Supplemental Funding. Awarded as a modification 03 on DE-SC0021151. 23-0510-A0001.",NA,"916f1968-5184-42e5-9671-546bb21e1bf5",NA,NA,NA,"Not Completed",NA,"189967","17827","207794",NA,"Yes",2024-02-26 10:38:02,"2024-02-26 10:38:59","207794","189967","17827","207794","FY2024","230510A0002",NA,NA,"College of Engineering & Physical Sciences",0,1,0,0,0,0,0,0,0,1
"23-1544-P0001","Nurse Education, Practice, Quality and Retention Simulation Education Training Program",NA,NA,"Closed",NA,NA,NA,NA,NA,NA,"23-1544","6/2/2023 10:16:45 AM",NA,NA,NA,NA,NA,"Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Withdrawn","Kara Enyeart > Ashlee Kupilik","6/2/2023 10:16:45 AM > 6/12/2023 04:26:35 PM","Duplicate entry per Kara Enyeart 6/12/23 1131am

Ashlee,

CHS has a duplication in ROAM.  We have two entries for Nurse Education Practice Quality and Retention Simulation Education Training Program.  I entered one and Dean Smith entered one.  The one I entered can be closed.  We are still trying to navigate how CHS faculty and staff will enter information into the system.  I apologize for the extra work that this creates for the Research office.

Kara

Kara Enyeart
Grants Manager
UW, College of Health Sciences
Dept. 3432, 1000 E. University Ave.
Laramie, WY  82071
kenyeart@uwyo.edu
307-766-6570
",NA,"ee4846e0-9837-4295-b291-b4cee0180eda","Withdrawn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"231544A0001",NA,NA,NA,1,0,0,0,0,0,0,0,0,0
